INSTANCE,HEA-BEST,HEA-AVG
in02_208.dat,9635,9642
in02_209.dat,10110,10125.85
in02_210.dat,10103,10111.3
in02_211.dat,10600,10611.25
in02_212.dat,11379,11386.1
in02_213.dat,10693,10700.2
in02_214.dat,9390,9396.2
in02_215.dat,10315,10318.5
in02_216.dat,10208,10219.35
in02_217.dat,11409,11418.8
in02_218.dat,11125,11132.75
in02_219.dat,9916,9922.9
in02_220.dat,10823,10828.3
in02_221.dat,11177,11184.6
in02_222.dat,10244,10252.7
in02_223.dat,9939,9945.8
in02_224.dat,10844,10853.1
in02_225.dat,10415,10424.45
in02_226.dat,10147,10156.35
in02_227.dat,10103,10111.8
in02_228.dat,9723,9729.8
in02_229.dat,10408,10415.05
in02_230.dat,10462,10470.75
in02_231.dat,10071,10080.85
in02_232.dat,9793,9800.7
in02_233.dat,10391,10395.65
in02_234.dat,10542,10547.45
in02_235.dat,10230,10238.9
in02_236.dat,10345,10355.35
in02_237.dat,11065,11070.3
in02_238.dat,9690,9702.25
in02_239.dat,10110,10120.35
in02_240.dat,10760,10772.9
in02_241.dat,12951,12968.35
in02_242.dat,12163,12176.95
in02_243.dat,13100,13109.9
in02_244.dat,12947,12959.85
in02_245.dat,12424,12433.85
in02_246.dat,13887,13897.35
in02_247.dat,12866,12877.85
in02_248.dat,13228,13240
in02_249.dat,13040,13052.05
in02_250.dat,12290,12302.9
in02_251.dat,12933,12945.9
in02_252.dat,13198,13208.7
in02_253.dat,12559,12572.25
in02_254.dat,12398,12409.7
in02_255.dat,13946,13959.3
in02_256.dat,13451,13458
in02_257.dat,12590,12599
in02_258.dat,13557,13569.95
in02_259.dat,12658,12669.45
in02_260.dat,13431,13446.05
in02_261.dat,12721,12733.4
in02_262.dat,13755,13767.55
in02_263.dat,12320,12334.95
in02_264.dat,12660,12667
in02_265.dat,12433,12439.9
in02_266.dat,13089,13097.05
in02_267.dat,12608,12616.25
in02_268.dat,13905,13923.75
in02_269.dat,12229,12240.05
in02_270.dat,13675,13684.35
in02_271.dat,13790,13798.25
in02_272.dat,13742,13749.15
in02_273.dat,13385,13398.45
in02_274.dat,11927,11939.5
in02_275.dat,12861,12871.95
in02_276.dat,12743,12766.6
in02_277.dat,12901,12911
in02_278.dat,12104,12114.4
in02_279.dat,13147,13157.45
in02_280.dat,13694,13704.7
in02_281.dat,11918,11928.65
in02_282.dat,13506,13520.4
in02_283.dat,13076,13086.6
in02_284.dat,12313,12330.4
in02_285.dat,13941,13951.75
in02_286.dat,13326,13338.15
in02_287.dat,12279,12297.2
in02_288.dat,14043,14056.6
in02_289.dat,12092,12103.1
in02_290.dat,13348,13369.6
in02_291.dat,13653,13660.35
in02_292.dat,13773,13780.85
in02_293.dat,13717,13735.6
in02_294.dat,12572,12583.5
in02_295.dat,12154,12160.95
in02_296.dat,12340,12351.9
in02_297.dat,13668,13677.4
in02_298.dat,13486,13502.05
in02_299.dat,12317,12327
in02_300.dat,13314,13327.5
in02_301.dat,14742,14752.2
in02_302.dat,15566,15579.45
in02_303.dat,14860,14875
in02_304.dat,16375,16391.8
in02_305.dat,15039,15061.7
in02_306.dat,15260,15274.75
in02_307.dat,14367,14388
in02_308.dat,15980,15989.2
in02_309.dat,15477,15488.85
in02_310.dat,15345,15356.8
in02_311.dat,14927,14941.8
in02_312.dat,15616,15624.1
in02_313.dat,16304,16315.15
in02_314.dat,16624,16636.75
in02_315.dat,15146,15156.2
in02_316.dat,15105,15113.4
in02_317.dat,15427,15450.35
in02_318.dat,16157,16171.4
in02_319.dat,15983,15992.05
in02_320.dat,15715,15730.85
in02_321.dat,15776,15784.9
in02_322.dat,16380,16394.35
in02_323.dat,16290,16309.75
in02_324.dat,15225,15240.2
in02_325.dat,14837,14854.3
in02_326.dat,14796,14814.85
in02_327.dat,15288,15302.85
in02_328.dat,15455,15467.3
in02_329.dat,15213,15224.9
in02_330.dat,15526,15538.6
in02_331.dat,15125,15139.85
in02_332.dat,14782,14795
in02_333.dat,14580,14592.85
