instance,bestMakespan,avgMakespan,solution
in02_001.dat,3583,3583,"2,3,10,19,6,9,12,0,20,8,7,18,16,15,13,4,24,5,21,14,23,11,22,17,1,"
in02_002.dat,3103,3103,"2,11,10,4,12,23,5,3,18,15,19,14,17,20,9,1,8,13,22,24,21,7,0,16,6,"
in02_003.dat,2941,2941,"3,6,23,17,2,18,4,10,5,0,24,7,15,11,8,19,9,14,20,21,12,13,22,1,16,"
in02_004.dat,2459,2459,"0,6,9,1,20,3,24,22,14,13,16,2,5,10,17,12,11,23,21,8,15,18,19,4,7,"
in02_005.dat,2885,2885,"3,7,11,14,15,13,18,8,22,5,0,17,2,19,4,20,1,24,9,23,16,6,21,10,12,"
in02_006.dat,2890,2890,"3,10,20,0,4,22,8,23,5,1,12,24,18,14,7,16,11,21,17,13,19,2,6,9,15,"
in02_007.dat,3019,3019,"0,6,18,2,22,7,9,3,5,11,19,10,24,13,14,12,15,20,16,17,4,21,1,23,8,"
in02_008.dat,2812,2812,"3,5,6,10,24,9,2,7,13,4,16,18,22,17,11,12,0,1,20,23,19,15,21,14,8,"
in02_009.dat,2832,2832,"0,8,17,21,16,14,12,18,15,7,10,19,24,1,11,13,2,5,3,9,4,20,23,6,22,"
in02_010.dat,3218,3218,"1,9,12,14,15,19,10,22,2,13,6,18,5,8,17,7,0,11,16,21,24,3,4,23,20,"
in02_011.dat,3035,3035,"0,6,12,23,21,13,15,4,14,24,8,2,11,1,20,16,18,5,10,22,19,17,9,3,7,"
in02_012.dat,2513,2513,"0,9,8,23,3,11,2,5,19,7,1,15,10,18,13,21,20,17,24,4,16,6,22,12,14,"
in02_013.dat,3170,3170,"2,10,4,7,20,3,18,24,15,19,14,17,21,5,23,1,6,22,11,9,8,12,13,16,0,"
in02_014.dat,2939,2939,"5,2,4,10,19,6,14,21,8,16,3,1,13,17,22,0,11,23,15,18,9,24,7,20,12,"
in02_015.dat,2643,2643,"1,4,11,18,21,6,8,15,19,17,23,16,12,14,0,10,20,7,9,13,3,5,24,2,22,"
in02_016.dat,3070,3070,"1,0,11,22,12,6,4,2,14,15,18,8,20,21,16,19,23,9,13,3,7,10,17,24,5,"
in02_017.dat,3547,3547,"0,7,11,24,6,17,8,21,1,15,16,2,23,9,13,5,14,10,18,19,22,12,4,20,3,"
in02_018.dat,2883,2883,"2,0,12,17,21,13,9,20,7,23,22,14,11,8,3,5,24,10,4,6,19,15,18,16,1,"
in02_019.dat,3260,3260,"1,5,12,21,23,11,16,10,3,18,19,14,2,22,6,7,20,4,15,13,9,17,0,8,24,"
in02_020.dat,2562,2562,"4,0,6,8,3,17,15,16,10,21,13,22,11,23,20,12,19,5,14,9,2,18,7,1,24,"
in02_021.dat,3044,3044,"1,4,8,7,19,0,14,20,21,15,11,23,16,18,9,17,10,13,3,5,24,12,2,6,22,"
in02_022.dat,2800,2800,"4,15,22,24,3,19,11,21,1,6,20,16,10,8,13,12,5,23,7,14,0,18,2,17,9,"
in02_023.dat,3285,3285,"1,5,7,10,2,11,9,17,13,19,21,16,20,6,22,14,8,12,3,0,18,15,24,23,4,"
in02_024.dat,2995,2995,"5,13,8,10,22,23,0,17,15,3,19,14,4,24,11,21,2,6,16,1,7,12,18,20,9,"
in02_025.dat,2445,2445,"0,5,13,17,21,23,24,16,10,9,15,20,18,8,12,14,19,6,11,22,2,1,3,4,7,"
in02_026.dat,2936,2936,"3,24,14,4,6,16,1,0,18,15,13,2,19,23,20,21,10,8,11,9,5,22,12,7,17,"
in02_027.dat,2603,2603,"0,1,15,17,24,14,16,9,8,5,6,2,20,22,19,7,23,4,10,13,18,11,3,21,12,"
in02_028.dat,2806,2806,"1,9,4,15,0,8,5,14,19,10,24,16,12,17,7,3,21,22,23,20,2,18,13,6,11,"
in02_029.dat,2725,2725,"0,22,20,18,24,21,12,23,16,17,6,9,7,19,2,14,10,15,3,5,11,8,13,1,4,"
in02_030.dat,2735,2735,"0,10,1,15,16,6,20,19,5,23,7,4,24,11,3,21,17,2,9,13,22,12,14,18,8,"
in02_031.dat,2861,2861,"0,2,18,9,1,13,6,12,11,24,14,4,3,8,19,16,23,20,17,21,7,5,10,22,15,"
in02_032.dat,2411,2411,"0,5,20,22,16,17,23,1,13,10,21,9,19,18,2,15,14,24,6,11,12,4,7,3,8,"
in02_033.dat,2972,2972,"0,16,3,11,15,24,20,19,10,9,22,1,18,12,8,5,2,4,13,6,23,21,17,7,14,"
in02_034.dat,2765,2765,"0,5,15,18,14,17,4,9,22,6,21,13,20,23,3,10,8,12,1,11,19,24,7,16,2,"
in02_035.dat,2560,2560,"0,14,17,16,3,4,24,15,2,13,8,23,7,5,19,10,20,22,21,18,1,9,6,11,12,"
in02_036.dat,3012,3012,"2,3,4,7,19,24,11,12,9,1,23,8,13,17,10,14,21,16,15,18,5,20,0,6,22,"
in02_037.dat,3015,3015,"3,18,12,19,1,13,16,24,6,9,14,0,21,10,15,2,8,23,4,22,5,7,20,17,11,"
in02_038.dat,2659,2659,"0,8,11,22,19,5,3,14,2,10,4,20,12,23,6,15,1,13,21,17,9,7,18,24,16,"
in02_039.dat,3237,3237,"2,5,16,10,20,23,9,13,8,21,17,12,18,4,24,1,19,0,14,3,15,11,22,7,6,"
in02_040.dat,2899,2899,"1,15,13,21,22,11,7,5,16,19,8,24,2,3,17,4,14,23,18,6,0,20,12,10,9,"
in02_041.dat,2798,2798,"3,4,2,18,7,24,6,5,11,10,17,14,16,13,15,20,1,0,19,23,21,12,9,8,22,"
in02_042.dat,2730,2730,"1,16,11,15,5,14,24,18,4,12,3,8,9,23,17,13,21,2,19,10,22,7,20,6,0,"
in02_043.dat,2841,2841,"0,6,20,4,16,10,1,17,2,21,7,8,15,5,24,14,13,22,19,18,3,11,23,9,12,"
in02_044.dat,3057,3057,"4,2,15,24,19,17,8,5,9,0,7,3,21,13,20,18,12,23,1,6,11,22,10,14,16,"
in02_045.dat,3019,3019,"7,2,20,1,0,18,5,3,23,17,11,14,8,12,4,24,16,6,22,21,13,15,10,9,19,"
in02_046.dat,2543,2543,"0,10,15,9,12,3,14,21,22,23,19,1,5,11,18,2,7,24,20,4,6,8,17,13,16,"
in02_047.dat,2402,2402,"5,10,3,16,21,1,7,8,15,0,17,9,12,4,13,24,2,11,6,19,18,22,23,20,14,"
in02_048.dat,2962,2962,"1,3,4,14,5,21,20,11,9,13,15,2,22,0,18,10,19,24,23,8,17,16,6,12,7,"
in02_049.dat,2252,2252,"14,2,20,12,13,11,17,6,9,10,18,21,19,1,22,0,4,23,8,15,16,3,24,7,5,"
in02_050.dat,2829,2829,"0,12,10,17,18,24,21,9,11,7,13,19,3,15,23,6,1,8,20,16,22,14,5,2,4,"
in02_051.dat,3421,3421,"4,21,5,13,9,8,7,12,16,23,18,14,24,1,22,19,11,15,6,3,2,17,20,0,10,"
in02_052.dat,3099,3099,"1,22,13,23,4,7,21,24,0,3,11,19,20,10,12,6,9,16,18,14,5,17,15,2,8,"
in02_053.dat,3019,3019,"0,8,3,2,22,12,16,5,19,18,9,7,1,14,6,21,13,11,17,10,24,4,23,20,15,"
in02_054.dat,2778,2778,"5,13,17,0,21,2,10,22,24,20,23,12,11,4,15,18,16,3,19,6,9,1,7,14,8,"
in02_055.dat,3345,3345,"5,14,19,13,10,17,1,12,20,23,11,18,21,6,24,4,9,3,15,2,0,22,16,8,7,"
in02_056.dat,3016,3016,"4,5,2,3,14,1,21,8,22,6,23,11,24,19,12,17,7,18,0,16,15,20,13,10,9,"
in02_057.dat,3105,3105,"3,13,7,8,17,20,19,24,4,16,1,21,10,15,18,9,12,11,6,22,0,23,2,14,5,"
in02_058.dat,2553,2553,"3,6,23,11,19,17,8,5,14,9,12,10,4,1,24,13,22,21,15,16,18,2,0,20,7,"
in02_059.dat,2917,2917,"2,9,21,15,13,11,24,19,20,1,8,14,7,18,10,16,0,17,23,22,6,5,12,4,3,"
in02_060.dat,3284,3284,"7,9,1,4,19,23,12,13,20,21,24,11,16,6,5,10,18,3,15,17,22,14,0,8,2,"
in06_001.dat,2569,2569,"0,1,4,2,8,6,10,17,9,13,3,7,20,24,16,14,15,23,18,11,21,19,5,22,12,"
in06_002.dat,2627,2627,"1,0,5,7,11,4,12,18,10,14,19,6,2,21,17,23,13,9,16,15,8,3,24,20,22,"
in06_003.dat,2881,2881,"1,3,4,6,0,13,16,7,15,18,11,5,2,20,17,10,22,14,23,21,12,8,19,24,9,"
in06_004.dat,2887,2887,"0,4,2,5,1,8,3,13,11,12,19,21,6,14,20,10,16,9,18,17,15,22,7,24,23,"
in06_005.dat,2922,2922,"1,0,2,3,4,7,5,8,9,6,14,16,17,19,10,22,18,24,11,13,20,23,21,15,12,"
in06_006.dat,3117,3117,"0,2,6,12,4,11,16,15,7,19,3,24,22,20,14,10,17,1,8,5,23,13,18,21,9,"
in06_007.dat,2865,2865,"2,1,5,4,0,7,3,15,12,6,18,24,19,10,16,13,22,21,17,20,9,8,14,11,23,"
in06_008.dat,2707,2707,"1,4,5,7,0,11,9,8,14,13,10,24,20,3,22,17,12,6,15,21,19,18,16,2,23,"
in06_009.dat,3366,3366,"0,2,6,11,3,10,9,18,22,20,21,1,13,14,12,15,7,8,23,16,24,5,19,4,17,"
in06_010.dat,3303,3303,"0,2,6,1,12,10,15,17,4,16,20,24,23,18,14,5,11,21,9,3,8,19,22,7,13,"
in06_011.dat,2978,2978,"0,1,2,6,11,10,4,8,12,16,20,9,18,15,13,3,21,14,19,23,17,5,24,7,22,"
