instance,bestMakespan,avgMakespan,solution
in06_012.dat,2657,2657,"0,1,2,3,7,8,11,9,15,4,13,10,21,19,5,17,14,22,16,24,18,6,23,12,20,"
in06_013.dat,3504,3504,"0,1,3,7,9,12,17,2,11,19,20,15,10,16,14,8,13,22,6,4,21,23,5,24,18,"
in06_014.dat,2959,2959,"2,6,11,7,0,12,4,16,5,18,19,9,21,23,15,20,8,24,22,14,3,13,1,10,17,"
in06_015.dat,3225,3225,"1,0,6,7,11,12,3,5,16,19,21,18,20,23,9,22,10,17,13,8,24,2,14,4,15,"
in06_016.dat,3533,3533,"0,2,1,5,4,9,13,16,17,20,8,19,7,12,14,23,3,11,15,22,6,21,24,10,18,"
in06_017.dat,2679,2679,"0,6,2,10,5,8,13,4,9,18,19,21,15,7,22,17,24,14,3,23,20,11,16,12,1,"
in06_018.dat,2812,2812,"0,1,3,7,6,9,2,15,4,18,21,24,13,23,17,12,22,16,10,19,5,14,20,11,8,"
in06_019.dat,3453,3453,"0,2,5,3,7,4,11,19,14,13,20,15,23,16,18,21,1,12,10,9,24,22,17,8,6,"
in06_020.dat,2564,2564,"0,3,6,5,9,12,11,15,1,7,10,16,18,17,22,4,8,20,24,13,2,19,23,21,14,"
in06_021.dat,2633,2633,"5,0,9,7,13,17,16,8,10,20,23,3,14,18,21,11,22,4,1,19,2,24,12,6,15,"
in06_022.dat,3387,3387,"0,1,5,10,2,6,19,13,9,3,15,17,11,24,21,14,7,22,8,20,16,23,4,12,18,"
in06_023.dat,3074,3074,"1,2,4,6,8,16,21,5,13,20,9,12,22,18,15,14,17,7,3,23,19,11,10,0,24,"
in06_024.dat,3037,3037,"2,8,7,5,18,13,11,0,4,14,16,19,3,17,9,10,22,12,1,20,23,6,15,24,21,"
in06_025.dat,3043,3043,"0,6,5,12,1,23,4,21,2,17,11,7,18,3,19,13,20,15,24,22,9,8,16,10,14,"
in06_026.dat,2488,2488,"0,6,9,16,4,22,21,12,20,24,8,11,14,17,10,1,23,19,3,2,5,13,15,18,7,"
in06_027.dat,3388,3388,"1,4,0,16,3,15,23,20,18,5,13,22,6,12,17,11,8,19,10,24,21,14,2,9,7,"
in06_028.dat,3136,3136,"1,0,6,4,17,19,2,21,23,16,14,7,3,13,11,9,12,8,15,24,10,5,22,18,20,"
in06_029.dat,2865,2865,"3,10,7,5,13,21,23,0,18,1,16,11,17,4,20,9,19,14,2,6,22,15,24,8,12,"
in06_030.dat,3037,3037,"1,0,4,5,10,19,14,16,12,22,6,2,13,20,3,18,17,23,15,8,21,9,24,7,11,"
in06_031.dat,3370,3370,"1,4,11,10,13,20,16,3,19,24,12,5,8,22,6,9,2,14,17,15,23,7,18,21,0,"
in06_032.dat,2771,2771,"1,6,5,4,15,10,20,2,22,0,17,11,16,13,9,12,7,8,14,24,23,19,21,3,18,"
in06_033.dat,3536,3536,"0,3,2,21,10,20,16,7,1,24,12,18,17,9,23,14,8,15,5,4,11,19,6,22,13,"
in06_034.dat,2862,2862,"1,7,2,12,15,11,3,6,10,18,13,9,14,24,16,8,0,5,22,20,21,17,19,23,4,"
in06_035.dat,3170,3170,"1,2,13,7,5,3,11,22,15,17,19,6,20,18,12,8,10,21,0,14,4,24,9,23,16,"
in06_036.dat,2760,2760,"5,8,7,10,19,21,22,20,3,4,14,11,12,9,13,23,17,24,16,6,2,18,0,1,15,"
in06_037.dat,2924,2924,"0,8,16,21,17,12,4,22,1,20,18,15,5,11,2,6,14,7,24,19,23,3,10,13,9,"
in06_038.dat,2743,2743,"0,5,2,15,4,16,20,1,14,13,19,3,24,11,6,10,7,17,23,18,22,12,21,9,8,"
in06_039.dat,2923,2923,"0,4,3,19,14,21,22,5,12,17,15,7,6,23,11,9,18,1,13,16,10,24,2,20,8,"
in06_040.dat,3091,3091,"2,3,1,6,18,14,4,22,20,13,23,17,21,24,15,12,19,10,8,11,7,16,0,5,9,"
in06_041.dat,2876,2876,"3,8,6,16,2,24,7,10,17,15,18,12,20,9,4,5,13,22,0,23,11,1,14,21,19,"
in06_042.dat,2851,2851,"6,2,0,14,9,21,11,5,7,16,3,4,20,8,22,12,18,19,1,24,23,13,10,15,17,"
in06_043.dat,2760,2760,"2,6,11,0,9,19,12,14,22,16,17,24,18,13,23,1,5,21,20,3,15,7,10,8,4,"
in06_044.dat,2554,2554,"0,2,3,5,16,7,4,6,1,15,23,17,22,18,20,8,14,12,11,10,19,24,21,9,13,"
in06_045.dat,3178,3178,"9,5,17,10,15,13,24,3,21,1,20,14,7,18,4,23,11,0,16,12,19,8,22,6,2,"
in06_046.dat,2653,2653,"0,3,4,5,13,6,15,18,21,2,23,1,14,16,20,22,8,11,24,7,10,9,19,17,12,"
in06_047.dat,3357,3357,"2,1,7,9,24,21,22,16,6,4,8,10,12,17,18,14,5,19,13,11,23,20,0,15,3,"
in06_048.dat,3044,3044,"3,4,14,18,21,6,0,20,1,19,13,5,2,10,7,17,11,15,23,16,24,8,12,9,22,"
in06_049.dat,2980,2980,"3,1,12,19,2,9,20,17,18,13,10,22,16,4,23,11,24,0,6,21,14,15,7,8,5,"
in06_050.dat,2651,2651,"1,3,14,2,15,6,5,4,9,21,23,18,8,16,7,12,20,17,10,11,13,24,22,0,19,"
in06_051.dat,2886,2886,"4,3,10,9,23,6,7,20,14,8,24,19,13,17,0,5,1,15,18,16,12,22,21,2,11,"
in06_052.dat,2633,2633,"2,4,13,16,12,3,23,22,9,7,5,6,14,19,15,11,20,21,18,0,24,17,10,8,1,"
in06_053.dat,2325,2325,"4,8,13,14,23,22,10,17,2,19,15,12,3,6,21,24,20,18,1,11,7,16,0,5,9,"
in06_054.dat,2836,2836,"4,6,15,5,18,23,10,3,2,13,24,21,12,14,11,17,7,8,1,0,19,20,16,22,9,"
in06_055.dat,2845,2845,"1,5,6,9,14,13,20,21,17,22,8,15,16,3,10,7,19,24,12,0,4,23,11,2,18,"
in06_056.dat,2596,2596,"0,7,9,12,23,4,16,1,21,11,6,22,17,3,20,2,8,10,13,18,5,14,15,24,19,"
in06_057.dat,2737,2737,"0,13,21,1,17,5,9,7,24,16,2,6,23,11,14,4,18,19,22,8,3,20,15,10,12,"
in06_058.dat,3351,3351,"4,15,3,7,21,23,22,19,1,11,5,10,18,24,12,9,6,14,16,17,20,0,2,13,8,"
in06_059.dat,2904,2904,"6,0,8,4,1,18,7,17,14,24,12,3,15,9,21,2,19,5,10,20,13,22,23,11,16,"
in06_060.dat,3466,3466,"1,6,7,18,5,10,24,2,20,8,15,23,19,14,0,21,22,9,13,11,3,17,4,12,16,"
in10_001.dat,3554,3554,"2,4,3,1,8,6,0,7,10,14,11,9,17,18,16,19,13,21,5,24,15,23,12,22,20,"
in10_002.dat,3297,3297,"0,1,4,5,7,2,6,12,9,11,17,8,10,21,16,20,24,3,13,15,23,18,14,19,22,"
in10_003.dat,3182,3182,"0,3,4,5,2,1,9,6,10,11,13,12,20,15,18,17,16,7,24,8,14,19,21,22,23,"
in10_004.dat,3460,3460,"0,2,3,4,1,11,5,14,9,13,8,17,12,6,15,19,23,16,20,10,7,21,18,24,22,"
in10_005.dat,3288,3288,"0,1,6,5,12,11,8,2,14,13,16,10,21,18,17,23,15,9,4,19,24,20,3,22,7,"
in10_006.dat,3699,3699,"0,1,5,7,4,10,9,14,3,11,12,15,20,2,17,18,19,6,16,23,8,22,13,24,21,"
in10_007.dat,3478,3478,"1,3,4,2,5,10,6,9,16,17,0,18,15,19,14,13,22,11,12,24,8,23,20,7,21,"
in10_008.dat,3455,3455,"2,0,3,5,4,6,1,11,14,9,16,10,18,15,8,21,17,12,13,23,20,7,24,22,19,"
in10_009.dat,3622,3622,"0,2,3,4,6,8,9,10,7,11,13,19,17,14,12,1,24,5,18,20,21,23,15,22,16,"
in10_010.dat,3391,3391,"0,1,3,6,4,13,8,5,11,17,7,9,18,22,16,20,21,2,19,10,23,14,15,12,24,"
in10_011.dat,3521,3521,"0,4,2,9,1,5,12,6,13,17,16,10,19,8,21,23,24,18,14,3,15,20,7,11,22,"
in10_012.dat,3392,3392,"0,1,5,3,4,2,12,10,7,13,6,11,14,20,17,19,15,9,16,8,24,22,23,18,21,"
in10_013.dat,3191,3191,"0,3,4,5,8,10,2,7,11,16,9,14,13,20,22,17,1,21,19,15,23,12,6,24,18,"
in10_014.dat,3462,3462,"1,3,4,2,5,6,9,8,14,7,15,12,16,18,0,11,22,17,19,13,20,23,24,21,10,"
in10_015.dat,3513,3513,"0,2,1,3,7,5,6,9,8,13,10,18,12,11,17,22,21,4,20,16,15,24,14,23,19,"
in10_016.dat,2896,2896,"0,1,2,9,8,10,5,6,15,11,16,12,14,7,19,18,3,21,22,13,17,20,23,4,24,"
in10_017.dat,2692,2692,"1,0,4,6,10,13,5,18,2,3,8,16,14,15,11,12,19,17,23,21,22,20,9,7,24,"
in10_018.dat,3485,3485,"0,1,2,5,4,3,11,8,7,9,15,18,19,12,17,24,14,21,6,23,13,10,16,20,22,"
in10_019.dat,3360,3360,"2,3,5,1,6,8,10,11,7,15,14,17,22,18,9,23,13,24,20,0,16,21,12,4,19,"
in10_020.dat,3259,3259,"0,1,2,3,4,9,6,5,10,15,11,17,16,19,8,7,20,18,22,13,14,21,23,24,12,"
in10_021.dat,2749,2749,"0,1,2,5,8,17,4,15,22,9,12,3,11,23,18,13,19,7,24,14,21,6,20,16,10,"
in10_022.dat,3261,3261,"1,2,0,6,7,14,12,22,5,24,23,17,20,4,19,10,18,9,15,21,13,16,11,8,3,"
in10_023.dat,3104,3104,"0,3,1,5,9,4,14,15,20,6,17,22,11,13,7,10,16,19,12,23,2,8,18,24,21,"
in10_024.dat,3153,3153,"1,3,5,6,0,12,10,20,11,18,15,8,7,16,2,21,24,22,23,4,14,13,9,17,19,"
in10_025.dat,3580,3580,"0,2,6,7,9,18,17,3,23,14,8,1,22,13,16,21,4,5,10,24,11,12,20,19,15,"
in10_026.dat,3298,3298,"0,1,3,5,12,10,9,23,16,13,7,22,14,8,15,17,24,11,4,21,6,20,18,2,19,"
in10_027.dat,3136,3136,"0,1,6,9,10,12,11,13,14,2,15,4,23,17,18,8,7,20,19,21,16,3,24,5,22,"
in10_028.dat,2618,2618,"2,3,0,6,8,1,9,16,21,13,15,4,18,24,14,10,22,20,17,11,5,12,19,23,7,"
in10_029.dat,2904,2904,"0,1,4,5,9,11,2,10,7,12,15,19,6,18,20,22,13,3,21,24,17,23,8,16,14,"
in10_030.dat,2786,2786,"0,2,3,8,5,13,14,11,16,10,19,24,15,23,1,18,17,4,9,12,6,20,22,7,21,"
in10_031.dat,2621,2621,"1,3,9,4,0,2,18,7,13,16,5,21,22,12,24,10,20,14,6,15,19,23,17,8,11,"
in10_032.dat,2820,2820,"0,2,7,1,5,15,17,24,4,18,3,23,14,12,11,16,19,10,22,6,20,9,13,8,21,"
in10_033.dat,3106,3106,"0,4,6,3,12,9,10,16,1,21,24,22,23,11,8,18,2,19,14,15,5,13,20,7,17,"
in10_034.dat,3368,3368,"3,1,5,0,13,12,14,15,16,9,7,22,8,17,21,20,23,19,6,24,11,18,2,10,4,"
in10_035.dat,3058,3058,"1,4,2,8,11,13,19,20,17,21,5,16,22,12,3,10,14,9,18,24,7,15,6,0,23,"
in10_036.dat,2496,2496,"0,1,10,9,7,3,4,5,17,13,8,20,15,6,14,12,21,19,2,24,16,18,11,22,23,"
in10_037.dat,3224,3224,"0,3,6,8,1,15,10,7,18,21,9,23,24,22,2,17,4,11,16,13,20,14,5,19,12,"
in10_038.dat,3295,3295,"0,3,7,9,15,1,10,6,4,11,13,21,22,8,24,19,23,2,20,14,12,16,5,17,18,"
in10_039.dat,3179,3179,"0,3,6,1,2,9,8,4,18,17,10,11,16,7,5,14,19,15,13,23,20,12,22,24,21,"
in10_040.dat,3214,3214,"0,1,5,6,4,9,16,19,23,17,3,22,11,8,2,20,14,12,15,7,18,13,24,21,10,"
in10_041.dat,3289,3289,"0,1,6,9,12,3,7,5,10,18,23,11,16,4,22,13,21,2,20,15,24,19,8,17,14,"
in10_042.dat,2879,2879,"1,2,8,13,3,5,11,16,14,17,19,12,7,21,23,20,0,4,6,15,22,24,10,18,9,"
in10_043.dat,3500,3500,"0,3,5,7,9,6,15,24,22,16,13,23,10,12,14,20,17,11,2,1,21,8,4,19,18,"
in10_044.dat,2889,2889,"0,12,5,18,11,17,16,20,13,15,23,10,1,7,8,21,24,9,6,3,4,2,22,14,19,"
in10_045.dat,2905,2905,"1,4,8,10,16,7,11,12,21,6,19,18,3,0,13,5,15,17,14,9,2,23,20,24,22,"
in10_046.dat,3313,3313,"0,2,9,16,13,14,20,4,7,5,19,15,23,17,8,11,21,12,3,18,6,24,10,1,22,"
in10_047.dat,3199,3199,"1,2,6,0,4,10,14,12,19,23,18,24,17,22,7,5,21,9,11,8,20,13,15,16,3,"
in10_048.dat,3050,3050,"0,6,13,4,19,23,11,3,17,8,5,21,1,7,16,2,18,20,9,12,14,24,22,10,15,"
in10_049.dat,3247,3247,"0,7,14,5,17,21,4,3,6,16,2,12,9,18,13,19,11,24,1,10,23,15,8,22,20,"
in10_050.dat,2667,2667,"1,0,5,8,4,18,9,12,13,22,23,3,19,10,20,2,24,16,7,14,21,6,17,11,15,"
in10_051.dat,2830,2830,"1,0,3,7,10,23,15,21,2,17,24,5,11,19,13,9,18,20,8,22,4,6,16,14,12,"
in10_052.dat,3166,3166,"0,2,7,3,21,19,15,13,9,18,23,5,16,6,8,17,24,22,20,1,10,4,14,12,11,"
in10_053.dat,2940,2940,"0,3,4,2,8,1,16,7,24,10,11,17,13,20,15,6,21,14,23,12,9,18,22,19,5,"
in10_054.dat,2968,2968,"2,4,14,8,20,7,19,1,5,21,17,11,13,0,18,16,12,9,23,6,15,3,10,22,24,"
in10_055.dat,3170,3170,"5,6,11,2,14,15,4,1,7,18,22,13,9,3,23,19,16,8,10,12,17,24,20,21,0,"
in10_056.dat,3205,3205,"1,4,7,12,21,16,19,20,15,14,2,23,9,13,0,5,8,24,3,17,18,10,22,11,6,"
in10_057.dat,3089,3089,"3,2,4,10,13,11,22,5,18,19,8,20,7,17,14,15,9,24,6,12,0,1,23,21,16,"
in10_058.dat,3306,3306,"0,4,7,13,1,12,14,11,2,22,23,19,21,3,20,5,8,9,15,18,10,16,6,17,24,"
in10_059.dat,3095,3095,"1,6,15,19,11,16,9,10,13,12,4,14,21,7,23,17,3,20,8,18,22,2,5,0,24,"
in10_060.dat,2555,2555,"1,4,6,13,7,14,10,3,19,20,21,23,18,22,15,11,12,5,9,0,17,16,24,2,8,"
in14_001.dat,3764,3764,"0,1,3,2,4,6,7,11,9,15,10,13,12,8,14,17,5,21,19,16,22,24,20,23,18,"
in14_002.dat,3542,3542,"1,0,5,7,9,11,12,6,8,13,15,14,16,17,18,20,2,21,3,22,4,10,23,19,24,"
in14_003.dat,4350,4350,"0,1,2,3,4,6,7,9,5,10,13,14,15,16,11,12,17,19,21,22,23,18,24,8,20,"
in14_004.dat,3972,3972.25,"1,3,5,6,4,7,9,10,2,13,12,14,8,16,15,20,0,17,11,21,18,19,23,24,22,"
in14_005.dat,4139,4139,"3,4,5,6,8,1,7,9,0,11,12,14,13,10,16,18,19,17,21,22,15,23,2,20,24,"
in14_006.dat,3655,3655,"1,0,3,4,6,7,9,8,10,5,14,13,12,2,15,11,16,18,19,17,21,23,22,24,20,"
in14_007.dat,3872,3872,"1,0,3,5,2,6,4,7,9,13,16,14,12,18,8,22,19,17,21,24,15,10,20,23,11,"
in14_008.dat,3927,3927,"1,0,4,2,7,8,3,9,6,11,15,16,13,5,14,10,12,17,19,20,21,22,23,18,24,"
in14_009.dat,3718,3718,"3,2,5,7,10,11,1,0,14,12,16,13,18,17,15,4,19,8,20,9,6,21,22,24,23,"
in14_010.dat,4155,4155,"2,1,3,4,5,0,9,7,8,12,10,15,6,18,13,14,17,11,20,21,24,23,16,22,19,"
in14_011.dat,3665,3665,"0,2,4,3,1,7,9,10,5,13,6,14,12,15,11,18,16,22,8,20,19,21,17,23,24,"
in14_012.dat,3170,3170,"0,2,4,1,3,5,8,7,6,14,13,9,15,12,10,18,16,17,20,11,21,22,24,23,19,"
in14_013.dat,3977,3977,"0,1,3,5,4,2,8,7,11,10,12,15,17,18,19,13,16,21,14,9,20,6,23,24,22,"
in14_014.dat,3931,3931,"0,2,3,1,6,4,7,8,10,9,11,12,13,15,5,20,18,16,14,22,24,23,21,19,17,"
in14_015.dat,3759,3759,"0,1,3,2,5,6,8,10,12,4,9,14,11,15,16,13,19,18,21,17,22,24,7,20,23,"
in14_016.dat,3681,3681,"0,3,6,4,7,9,13,11,14,10,2,8,18,16,17,12,15,19,5,1,21,22,20,24,23,"
in14_017.dat,3696,3696,"0,1,2,3,5,7,6,4,10,12,8,13,15,11,20,16,18,14,19,21,24,22,17,23,9,"
in14_018.dat,3559,3559,"3,4,5,1,6,10,2,11,7,13,8,9,15,12,17,16,0,19,18,20,21,14,23,22,24,"
in14_019.dat,4162,4162,"1,2,5,4,3,7,9,0,8,11,6,10,14,13,18,15,12,19,17,16,23,20,22,24,21,"
in14_020.dat,4414,4414,"1,3,2,4,0,6,9,5,12,8,7,14,17,16,11,20,18,19,23,10,21,15,13,24,22,"
in14_021.dat,3099,3099,"2,6,3,4,9,11,10,7,16,5,20,18,17,19,21,14,0,24,23,22,1,8,15,12,13,"
in14_022.dat,3106,3106,"0,2,7,4,6,1,17,18,16,19,12,23,24,13,15,11,21,14,22,5,9,20,3,8,10,"
in14_023.dat,3014,3014,"0,2,4,7,1,9,13,10,11,3,15,8,16,5,21,14,12,22,20,6,24,17,19,23,18,"
in14_024.dat,3586,3586,"0,1,4,9,7,2,6,12,8,11,5,23,21,16,17,18,3,19,13,15,14,24,22,10,20,"
in14_025.dat,3139,3139,"3,4,8,5,10,12,6,7,1,19,16,22,17,20,0,9,23,21,14,2,24,11,15,18,13,"
in14_026.dat,3250,3250,"3,4,2,1,8,9,10,14,5,16,12,20,6,0,11,15,24,13,21,18,22,7,23,19,17,"
in14_027.dat,3224,3224,"0,2,1,5,7,3,4,9,6,19,10,8,22,13,23,21,17,12,16,15,20,14,24,11,18,"
in14_028.dat,2835,2835,"0,3,5,9,2,6,8,11,16,7,10,17,14,23,13,20,12,15,22,4,19,1,24,18,21,"
