instance,bestMakespan,avgMakespan,solution
in02_061.dat,5357,5357,"2,6,10,16,15,12,30,38,5,42,33,20,48,14,40,9,3,21,8,49,13,36,27,37,43,47,17,28,19,32,22,35,23,45,44,34,24,39,46,1,41,18,7,31,0,11,4,29,25,26,"
in02_062.dat,5426,5426.2,"0,4,12,18,19,23,7,42,8,3,46,20,13,43,45,34,24,22,37,38,26,49,44,41,32,6,36,15,30,16,14,1,39,10,31,21,40,5,27,48,9,28,17,25,35,33,2,47,29,11,"
in02_063.dat,5221,5221.6,"2,0,12,11,8,16,1,23,33,43,49,40,9,7,29,14,32,39,17,6,42,45,15,18,41,28,47,26,3,44,30,13,4,48,35,25,27,31,19,5,34,36,21,22,10,38,24,46,37,20,"
in02_064.dat,5359,5361.85,"1,5,13,15,27,16,12,34,41,23,42,24,9,46,44,37,22,18,6,4,31,30,25,11,32,2,35,33,0,3,36,26,17,47,14,45,20,10,29,7,8,43,21,40,38,48,39,49,19,28,"
in02_065.dat,5160,5160.8,"3,0,2,18,5,17,7,26,14,11,47,4,34,46,40,37,39,10,25,33,21,45,48,22,15,43,1,28,32,9,19,16,41,30,20,8,42,36,13,29,24,35,49,27,44,12,38,6,31,23,"
in02_066.dat,5369,5370.5,"2,6,1,15,14,8,18,23,21,20,27,31,41,26,32,49,17,43,30,7,5,48,13,0,11,46,3,28,36,44,34,29,37,25,9,47,10,45,12,42,39,40,24,4,22,38,16,19,35,33,"
in02_067.dat,5168,5170.1,"0,4,11,13,9,28,31,18,26,35,8,30,22,38,23,20,2,32,41,40,14,45,47,10,16,33,39,25,24,19,49,5,36,44,27,12,15,46,43,3,6,21,7,1,34,42,29,37,17,48,"
in02_068.dat,5078,5082.95,"1,9,4,24,17,38,33,20,27,16,25,29,22,42,39,11,7,43,48,10,5,26,0,44,2,23,3,14,40,31,35,34,15,45,49,36,47,13,12,28,37,6,21,18,41,19,8,46,30,32,"
in02_069.dat,5384,5384,"0,8,6,1,15,11,2,20,39,17,43,41,10,26,12,9,49,18,27,30,29,47,4,19,45,48,5,21,22,28,16,23,7,42,14,25,3,34,46,35,32,24,40,33,38,44,13,37,36,31,"
in02_070.dat,5625,5628,"0,12,5,14,7,1,37,30,29,17,31,4,21,33,40,23,18,34,9,13,26,46,25,6,42,41,44,48,3,19,11,20,22,10,36,2,43,47,49,35,32,45,8,24,16,39,28,38,15,27,"
in02_071.dat,5429,5435.95,"3,12,14,7,19,13,40,33,35,9,34,2,6,41,4,8,22,21,15,46,27,29,44,17,49,25,0,28,36,48,26,45,38,39,18,30,24,1,31,10,47,5,32,42,37,16,20,11,43,23,"
in02_072.dat,5172,5172,"1,7,0,9,18,23,22,24,26,43,38,14,17,16,29,27,10,20,31,6,4,44,5,39,48,46,49,47,32,36,37,25,11,2,19,13,12,8,41,33,45,15,21,35,40,42,30,34,28,3,"
