instance,bestMakespan,avgMakespan,solution
in02_073.dat,4405,4405.85,"1,9,13,8,29,33,3,35,24,48,47,37,11,38,6,15,21,25,0,42,18,12,19,36,44,28,41,49,30,2,14,32,5,4,46,23,10,31,39,43,27,16,20,40,17,26,34,45,22,7,"
in02_074.dat,5928,5932.75,"3,1,8,27,30,41,36,25,23,44,2,39,10,43,48,29,49,38,9,5,21,37,26,33,17,11,31,45,20,34,14,47,28,22,40,35,18,15,12,13,24,42,19,16,46,4,32,6,7,0,"
in02_075.dat,5508,5515.15,"0,8,6,24,16,4,36,12,18,17,39,49,7,44,3,27,19,35,5,26,13,15,32,20,37,1,21,28,43,48,47,46,9,25,40,10,29,38,2,23,22,11,41,31,45,30,34,14,42,33,"
in02_076.dat,5900,5900,"0,3,16,19,35,40,12,36,8,30,4,22,42,24,37,17,38,49,28,48,23,39,13,31,21,44,14,47,9,5,45,6,20,34,10,27,32,46,15,43,2,26,18,41,33,1,29,11,7,25,"
in02_077.dat,5427,5429.05,"0,13,2,1,23,18,24,43,42,11,48,17,15,46,4,45,12,33,21,37,35,22,36,34,41,5,29,16,32,9,3,26,10,40,27,14,20,25,44,39,30,38,31,47,6,28,19,49,8,7,"
in02_078.dat,5260,5260.2,"3,2,13,17,7,6,29,10,18,25,33,37,46,28,47,22,31,24,16,20,27,49,41,11,12,14,45,44,39,21,0,26,15,48,4,1,36,30,40,42,43,8,32,9,35,5,19,34,38,23,"
in02_079.dat,6057,6057.2,"2,5,0,20,19,3,4,27,1,34,18,7,43,44,28,6,11,26,47,29,38,33,24,17,10,32,40,41,49,39,15,35,22,16,25,45,12,31,23,30,42,13,48,14,36,21,46,8,37,9,"
in02_080.dat,5625,5627.35,"2,1,12,16,0,31,37,26,44,30,4,21,42,5,24,23,18,3,10,27,20,17,7,36,9,34,33,15,43,11,29,14,48,38,45,47,6,32,35,39,41,22,19,8,40,28,49,13,25,46,"
in02_081.dat,5402,5402,"0,3,19,12,30,46,20,24,35,28,40,13,21,8,16,38,43,44,4,25,5,34,14,37,17,48,33,15,23,29,39,7,22,42,2,9,31,18,45,36,26,32,1,49,41,11,47,10,6,27,"
in02_082.dat,5627,5627.2,"1,6,2,38,0,10,45,8,41,18,12,15,36,5,39,40,42,48,44,29,31,20,32,7,17,11,4,43,26,33,34,27,3,21,47,46,13,24,35,23,9,16,30,25,37,14,49,22,28,19,"
in02_083.dat,5496,5497.05,"3,10,0,22,35,11,23,4,31,46,29,36,43,24,41,37,39,13,28,25,16,47,33,44,5,18,15,20,49,27,34,14,19,30,17,38,48,8,26,9,32,7,42,12,1,40,45,6,21,2,"
in02_084.dat,5487,5488.35,"1,4,31,28,42,19,44,25,17,37,23,48,18,36,49,6,16,14,32,2,40,0,45,39,5,41,20,26,33,3,8,12,10,11,15,34,9,38,27,22,30,47,24,13,46,29,21,35,43,7,"
in02_085.dat,5383,5385.1,"3,6,12,23,18,35,20,13,4,28,8,43,21,5,42,16,31,15,11,17,37,49,0,41,47,9,14,32,46,25,36,27,22,33,10,48,1,2,7,29,19,24,40,26,30,34,38,45,44,39,"
in02_086.dat,5810,5811.35,"2,15,31,11,27,18,13,48,40,20,28,45,21,46,44,42,19,38,10,0,5,6,8,41,16,22,4,3,35,34,33,30,1,25,17,39,36,26,14,23,29,7,9,24,43,49,37,12,47,32,"
in02_087.dat,4985,4987.1,"3,9,10,25,21,41,1,2,36,46,49,11,12,35,14,20,43,33,28,7,27,31,19,34,18,17,4,6,37,44,8,22,29,16,15,13,38,30,47,40,23,48,0,26,45,42,32,5,39,24,"
in02_088.dat,5692,5693.95,"3,0,21,45,25,29,37,42,15,11,10,22,1,41,40,8,47,35,20,38,12,36,23,39,33,4,16,5,6,48,17,18,34,46,31,19,2,9,28,27,49,7,13,14,24,32,43,30,26,44,"
in02_089.dat,4653,4653,"1,0,3,4,26,18,29,36,31,33,7,44,30,49,38,34,23,37,12,24,43,21,13,17,35,47,48,25,42,6,20,41,9,8,15,10,16,46,2,28,11,5,40,32,45,39,14,19,27,22,"
in02_090.dat,4650,4650.7,"0,3,19,16,37,24,15,17,30,20,49,23,18,8,34,47,38,32,33,40,35,2,22,29,6,41,43,45,42,21,10,48,31,25,27,36,7,12,28,1,46,14,13,39,5,4,26,11,9,44,"
in02_091.dat,5357,5359.75,"4,1,9,23,19,24,18,25,48,5,12,41,35,16,33,22,47,28,8,2,40,21,31,10,37,11,17,0,43,13,6,34,30,3,29,32,46,36,14,38,45,39,7,20,26,42,49,27,15,44,"
in02_092.dat,5823,5826.35,"7,1,24,9,4,0,33,2,38,23,31,15,35,18,25,34,43,21,14,49,41,48,39,42,12,3,47,30,46,19,32,11,5,26,13,20,22,10,28,40,8,6,29,44,17,27,37,45,16,36,"
in02_093.dat,5292,5292.6,"0,18,14,42,11,6,49,43,32,15,12,26,16,31,1,37,9,8,34,28,5,13,23,41,47,17,29,24,38,33,10,35,19,30,45,4,7,44,39,46,48,27,3,36,20,22,25,40,21,2,"
in02_094.dat,5514,5517.65,"2,7,8,29,34,30,46,44,10,42,26,24,15,0,14,37,48,38,32,11,22,23,35,13,20,25,31,19,3,41,9,17,36,16,49,18,45,5,40,21,1,47,43,12,28,4,27,39,6,33,"
in02_095.dat,5918,5922.6,"0,22,31,6,18,14,11,25,49,48,3,20,7,19,43,34,45,32,17,4,40,21,2,1,39,36,9,47,23,24,37,15,13,12,5,26,46,29,16,38,44,41,42,35,28,8,10,30,27,33,"
in02_096.dat,5034,5036.45,"7,0,23,29,1,48,14,15,2,46,18,40,8,45,43,16,31,27,20,47,39,11,24,35,13,41,33,12,19,4,44,22,3,10,30,26,36,32,28,38,37,5,9,49,21,17,42,6,34,25,"
in02_097.dat,5840,5840.1,"4,6,8,36,23,17,13,10,16,22,48,1,32,19,31,45,21,28,49,42,2,43,18,41,26,37,7,5,24,27,9,33,35,39,15,29,47,12,25,34,38,44,46,11,30,40,0,20,3,14,"
in02_098.dat,5594,5594.4,"2,20,18,29,12,8,25,11,3,24,7,21,36,5,32,28,17,49,22,31,4,33,43,38,48,15,14,35,13,30,42,9,0,44,37,10,26,46,16,41,19,27,39,45,40,6,1,23,47,34,"
in02_099.dat,5321,5321,"2,15,25,39,48,23,19,7,38,36,17,32,8,5,47,29,18,10,49,42,33,35,16,13,44,37,3,6,28,22,26,11,4,1,0,12,14,24,46,27,20,41,21,43,30,40,9,31,45,34,"
in02_100.dat,5232,5233.05,"5,4,15,1,43,14,9,7,8,27,25,29,13,42,49,40,31,0,48,35,18,17,19,44,10,33,12,2,32,46,37,16,20,45,26,21,3,41,38,22,34,47,11,30,24,6,28,39,23,36,"
in02_101.dat,5361,5361,"0,9,23,35,11,14,22,47,46,21,31,43,17,39,2,27,44,49,15,34,48,30,13,12,25,3,18,26,36,41,33,7,6,10,4,20,42,1,45,37,5,19,24,16,29,40,32,8,28,38,"
in02_102.dat,5655,5655.2,"4,10,43,28,39,49,31,3,5,27,46,32,25,14,35,40,6,44,0,15,36,17,23,19,30,38,20,12,26,34,16,11,2,1,7,21,48,9,18,29,13,41,42,37,45,22,24,8,33,47,"
in02_103.dat,6306,6307.75,"10,12,14,29,38,4,22,21,3,40,25,43,34,49,19,47,46,28,16,26,45,24,17,20,2,1,6,18,5,44,11,15,9,48,30,33,27,0,31,42,35,32,7,41,23,36,37,8,39,13,"
in02_104.dat,5366,5367.3,"0,2,16,20,42,41,45,4,19,28,30,38,18,12,40,15,44,33,13,21,35,29,27,8,1,39,34,43,47,25,14,5,26,7,24,22,48,9,37,10,11,23,17,32,6,49,3,31,36,46,"
in02_105.dat,5588,5590.3,"1,4,28,17,37,19,46,23,2,16,43,21,13,49,18,0,29,35,41,33,9,48,47,44,3,5,25,22,24,30,6,34,36,14,40,26,39,32,15,42,20,38,10,31,45,11,8,7,12,27,"
in02_106.dat,6000,6000.2,"1,16,42,2,34,0,41,36,9,39,4,15,48,7,31,26,10,43,3,13,49,28,24,45,5,29,20,44,33,8,21,22,17,23,14,38,32,46,37,25,27,35,40,6,12,18,11,19,47,30,"
in02_107.dat,5461,5463.55,"5,12,42,32,31,25,24,18,6,40,0,33,29,10,13,34,39,2,9,48,46,45,30,15,8,49,27,7,11,43,3,21,41,35,26,38,17,22,19,23,47,16,44,37,4,14,20,1,36,28,"
in02_108.dat,5267,5267.3,"1,12,44,43,19,14,46,22,29,48,28,13,17,49,18,35,11,34,37,2,3,25,27,4,36,23,0,42,5,9,40,32,39,15,10,16,7,8,21,33,31,45,41,20,24,30,38,47,26,6,"
in02_109.dat,4418,4418.2,"0,40,2,22,7,3,5,43,41,6,37,11,18,48,46,25,38,30,47,33,45,39,13,44,35,19,1,4,31,8,14,49,12,27,24,29,32,21,36,9,26,20,10,42,23,15,16,17,28,34,"
in02_110.dat,5247,5247,"0,12,26,44,7,42,25,10,11,27,46,20,47,8,16,3,28,21,30,24,40,37,29,45,15,48,38,18,5,23,34,19,2,9,43,17,22,32,31,13,1,49,41,35,6,36,4,39,14,33,"
in02_111.dat,5449,5450,"1,22,23,30,44,27,2,42,20,25,3,28,41,17,34,4,40,9,37,36,33,43,39,35,24,11,10,45,8,47,26,14,16,13,5,15,6,0,31,38,7,32,19,46,48,12,18,49,21,29,"
in02_112.dat,4807,4807,"1,4,10,15,8,17,7,24,14,6,44,38,29,37,20,12,9,31,39,41,18,23,47,0,21,42,43,16,11,25,35,5,33,40,48,26,27,22,49,32,36,30,2,13,45,34,3,19,28,46,"
in02_113.dat,5194,5195.35,"10,20,35,48,7,39,36,2,28,16,4,24,14,21,40,38,6,17,31,13,9,27,11,47,1,43,23,12,32,8,46,26,22,3,41,33,5,45,30,25,0,18,37,34,19,29,44,42,49,15,"
in02_114.dat,5781,5781.2,"0,5,23,35,24,9,27,43,8,16,11,18,12,39,6,37,36,32,19,47,22,1,15,38,40,41,7,4,20,42,45,10,26,13,28,31,29,3,17,25,44,21,14,2,30,46,33,49,48,34,"
in02_115.dat,4978,4978.55,"5,8,27,29,12,26,6,43,33,14,28,38,36,32,23,9,49,21,48,40,16,37,47,18,4,39,41,20,10,30,42,31,46,44,13,35,0,1,17,11,22,25,45,3,34,24,19,7,2,15,"
in02_116.dat,5349,5349.6,"0,5,11,33,1,44,49,36,29,18,9,24,8,32,3,37,10,2,31,12,23,15,45,43,22,6,34,25,28,41,30,4,17,48,26,16,39,7,14,40,19,27,47,13,46,20,35,42,21,38,"
in02_117.dat,5570,5571.6,"10,1,0,23,9,18,38,30,45,3,15,40,42,28,21,33,41,32,43,49,34,26,12,14,6,19,46,39,13,37,16,25,29,31,48,35,22,17,44,2,7,47,5,24,36,4,20,8,11,27,"
in02_118.dat,4973,4975.45,"6,4,27,24,25,29,11,2,34,14,7,19,46,31,37,18,15,22,13,32,48,47,28,41,3,30,1,21,23,49,45,35,43,44,39,42,20,26,10,36,9,8,16,0,12,5,40,33,38,17,"
in02_119.dat,5456,5458.55,"6,17,31,0,9,7,35,10,19,24,18,16,41,27,21,43,26,5,32,34,42,39,20,37,1,25,30,45,11,22,13,2,23,36,15,28,49,46,8,33,40,14,38,3,47,29,12,48,44,4,"
in02_120.dat,4615,4616.45,"1,7,13,15,2,20,26,42,32,40,41,33,4,46,16,31,44,48,39,49,27,38,3,36,14,45,8,25,24,30,6,47,22,34,18,43,12,29,23,21,5,10,35,28,17,11,37,9,19,0,"
in06_061.dat,5513,5525.1,"0,7,8,9,1,12,16,11,10,21,3,15,22,19,2,25,14,32,33,36,35,18,34,13,20,49,48,6,44,46,47,29,38,42,27,31,39,45,24,43,17,30,4,5,23,41,37,26,40,28,"
in06_062.dat,6146,6154.85,"0,4,9,6,8,16,14,21,10,22,15,19,7,18,20,12,30,17,33,2,24,25,38,26,42,37,47,13,43,28,46,23,32,5,35,29,39,41,44,1,49,11,36,3,40,45,27,31,34,48,"
in06_063.dat,4831,4832.6,"2,1,8,9,7,0,13,19,14,22,6,25,11,5,26,20,3,17,16,29,12,37,24,32,27,18,46,41,35,38,30,4,49,15,21,23,10,44,33,36,34,28,40,48,45,47,42,43,39,31,"
in06_064.dat,6098,6106.1,"4,3,1,6,14,16,19,20,7,13,33,24,9,37,17,31,23,29,11,38,26,21,27,18,25,32,5,2,48,39,15,30,49,22,28,35,34,45,44,42,10,43,36,8,40,46,47,0,41,12,"
in06_065.dat,5868,5875.65,"0,7,5,2,13,8,9,14,23,17,11,1,19,29,6,4,24,25,33,21,45,20,18,3,35,43,12,36,31,16,15,44,41,40,49,39,28,46,27,10,30,26,34,32,47,38,42,37,48,22,"
in06_066.dat,5829,5834.9,"0,5,2,10,8,1,9,15,22,24,20,29,21,6,23,18,12,34,32,19,44,35,3,4,38,43,14,36,42,31,26,39,16,17,49,46,25,41,27,30,28,47,45,33,13,37,11,40,48,7,"
in06_067.dat,6293,6293.35,"1,3,5,12,8,6,11,13,16,18,19,24,2,23,29,31,9,37,35,34,17,45,25,41,4,20,43,36,33,42,44,21,30,39,28,47,22,48,14,27,46,0,15,10,26,40,7,32,49,38,"
in06_068.dat,5287,5288.2,"0,2,1,9,6,15,4,22,3,28,10,13,8,34,5,21,30,25,40,41,16,27,18,38,49,35,44,33,32,31,36,45,42,29,37,26,14,46,12,23,17,47,24,7,43,39,11,20,48,19,"
in06_069.dat,5789,5789,"2,0,3,8,7,5,6,4,11,13,16,19,25,15,28,24,23,10,29,21,14,39,17,32,26,41,38,9,48,18,37,47,20,40,12,44,36,31,45,46,27,43,1,30,42,22,33,49,34,35,"
in06_070.dat,5996,5999.75,"0,3,7,4,2,8,6,13,10,17,15,11,23,25,26,1,35,33,14,19,36,5,22,28,30,9,32,18,40,38,42,34,41,31,20,39,29,37,43,47,46,24,12,44,49,48,21,16,27,45,"
in06_071.dat,5841,5850.45,"0,3,4,2,10,9,1,12,6,16,11,26,27,29,19,20,24,21,25,5,39,13,7,22,46,41,38,33,48,32,44,34,35,31,30,8,37,45,17,40,28,36,42,43,15,47,18,23,49,14,"
in06_072.dat,6002,6009.65,"1,0,2,6,4,8,11,10,13,16,14,19,26,22,30,33,28,15,37,12,21,32,29,43,39,35,45,41,9,44,42,34,20,24,40,7,5,49,18,46,3,31,47,27,25,36,38,23,48,17,"
in06_073.dat,5485,5487.05,"0,3,1,6,8,10,2,4,16,13,5,17,25,12,28,29,26,24,11,36,14,21,41,42,35,23,30,39,34,33,37,31,22,45,27,44,19,40,46,15,47,9,38,20,49,32,43,18,7,48,"
in06_074.dat,5862,5862,"0,1,2,4,3,6,8,9,17,14,7,11,21,19,29,18,16,36,33,12,43,13,35,26,20,37,32,46,10,27,47,41,44,48,23,28,15,39,38,30,45,25,22,5,34,42,24,31,49,40,"
in06_075.dat,5623,5627.8,"0,5,1,9,2,6,10,13,14,22,8,3,28,17,19,21,29,4,34,30,40,24,12,23,31,43,35,37,36,15,44,38,27,7,33,42,18,46,41,11,39,20,48,26,25,32,45,16,47,49,"
in06_076.dat,5896,5898.4,"1,0,4,9,6,12,11,15,13,17,16,14,2,25,18,32,26,34,31,19,23,42,38,37,33,49,47,27,22,30,21,46,28,7,29,40,43,8,35,45,3,39,20,5,36,10,48,41,44,24,"
in06_077.dat,6041,6042.9,"0,3,8,4,11,19,22,18,5,15,13,6,30,24,35,7,32,27,10,25,20,40,39,21,17,33,12,2,1,34,28,42,44,31,38,16,37,46,36,14,43,48,26,23,45,9,49,47,29,41,"
in06_078.dat,5804,5810.35,"0,3,6,5,4,8,10,11,15,2,18,12,13,19,23,28,30,16,22,20,36,42,31,39,1,29,48,27,34,33,43,41,17,47,26,24,45,46,7,49,25,32,37,9,14,44,35,38,40,21,"
in06_079.dat,5936,5938.95,"0,2,3,8,6,7,9,13,19,22,14,29,28,25,21,4,30,24,16,31,23,44,20,27,48,15,10,5,33,39,12,1,41,17,26,46,38,37,42,35,47,43,18,32,11,45,36,40,34,49,"
in06_080.dat,5646,5661.15,"2,1,3,11,7,9,10,13,6,5,16,21,4,15,8,28,35,25,31,33,19,12,40,26,43,14,47,36,48,18,32,27,34,37,38,17,44,30,20,39,29,0,41,46,24,23,45,49,22,42,"
in06_081.dat,5093,5093.55,"1,5,7,10,2,0,13,24,17,29,19,11,47,43,46,38,28,45,9,23,16,12,49,33,25,31,3,40,20,48,27,21,4,36,39,26,6,18,35,8,32,42,37,41,14,34,44,22,15,30,"
in06_082.dat,5647,5656.25,"0,1,5,8,3,14,11,33,6,24,26,10,47,40,15,30,4,32,39,44,46,36,20,38,31,34,18,29,35,42,7,17,19,27,2,28,21,13,16,23,41,43,22,48,12,25,9,49,37,45,"
in06_083.dat,5471,5471.7,"2,4,5,3,0,13,6,23,15,9,10,12,21,44,36,47,37,42,29,27,32,28,24,8,22,33,48,17,11,49,31,41,26,39,18,35,45,19,20,34,1,16,40,46,43,25,14,30,7,38,"
in06_084.dat,4946,4946,"0,8,16,14,2,20,27,17,38,32,28,10,19,23,49,43,18,36,42,4,21,24,26,9,34,45,11,6,46,44,5,25,13,29,37,48,30,31,40,41,3,47,15,33,1,7,22,12,39,35,"
in06_085.dat,5200,5210.1,"0,10,4,18,14,13,21,9,24,7,8,16,33,15,27,6,29,28,31,22,12,49,25,47,45,42,19,34,40,35,44,41,5,26,2,48,46,39,20,43,17,3,36,32,30,37,38,11,1,23,"
in06_086.dat,4922,4923.15,"0,8,6,2,9,14,16,4,1,25,39,32,3,36,11,13,28,30,41,42,27,35,45,12,47,7,49,44,22,5,21,26,40,48,24,33,31,18,23,29,17,43,46,34,20,19,37,15,38,10,"
in06_087.dat,5680,5686.7,"1,6,7,9,4,10,18,19,14,27,11,26,32,23,46,39,2,31,21,34,35,40,33,41,48,36,44,30,8,47,3,17,49,12,13,42,38,24,22,28,15,37,43,25,0,29,20,5,45,16,"
in06_088.dat,5137,5138.45,"7,5,13,3,10,8,11,18,28,33,34,37,41,39,45,36,38,23,14,27,12,32,24,49,2,22,6,19,16,20,31,25,35,44,47,43,21,9,30,0,29,1,40,17,4,26,46,42,48,15,"
in06_089.dat,5515,5519.9,"4,8,9,6,16,22,10,3,31,38,11,32,36,5,48,30,18,14,25,40,23,12,15,19,35,0,44,17,7,28,49,1,33,24,43,26,27,41,47,29,34,2,45,21,13,37,42,46,20,39,"
in06_090.dat,5919,5926.1,"0,4,5,11,13,24,20,29,9,38,17,26,36,48,3,27,45,6,41,2,10,37,14,42,16,43,22,25,15,47,39,19,35,34,28,23,33,18,30,21,12,46,40,44,8,7,49,1,31,32,"
in06_091.dat,5146,5146.75,"0,3,5,2,1,11,4,25,19,7,9,23,33,28,29,42,43,45,22,32,47,6,37,38,49,17,41,27,39,36,20,12,15,24,26,44,16,46,48,13,8,34,18,10,31,21,30,40,14,35,"
in06_092.dat,5019,5020.65,"1,6,11,12,7,4,25,2,16,29,28,9,30,46,27,47,37,45,31,20,41,49,17,19,48,40,8,26,15,36,3,33,18,23,35,34,13,14,10,43,24,44,32,42,5,38,0,21,22,39,"
in06_093.dat,6425,6425.45,"0,3,4,9,22,17,2,21,31,23,14,35,49,19,24,38,30,43,42,45,37,10,25,13,12,34,29,7,33,48,16,47,40,32,5,18,36,11,28,15,1,6,26,41,27,46,39,8,44,20,"
in06_094.dat,5301,5301.1,"0,5,7,4,6,20,15,27,14,12,38,13,34,25,36,16,9,8,48,2,40,21,23,43,26,46,28,35,45,44,24,17,42,22,31,18,3,49,10,41,29,33,39,32,30,1,19,37,47,11,"
in06_095.dat,6455,6455,"1,4,15,6,2,14,10,8,34,7,27,12,41,18,45,16,9,38,11,29,49,37,47,24,44,36,48,35,22,40,0,46,21,32,13,42,43,17,26,19,28,30,31,5,25,39,3,23,33,20,"
in06_096.dat,6343,6343.65,"0,3,4,6,16,2,11,1,23,10,28,25,47,42,12,39,40,19,45,41,48,34,18,14,35,8,43,38,17,32,29,37,27,46,22,31,15,30,33,26,13,49,36,21,24,20,44,9,5,7,"
in06_097.dat,5657,5657.65,"0,9,8,13,5,21,19,2,15,30,35,27,45,34,29,38,49,3,44,14,24,23,12,48,37,26,33,11,7,16,6,43,41,18,40,42,47,1,36,20,39,32,17,31,46,4,10,28,25,22,"
in06_098.dat,5523,5523,"0,1,4,10,9,5,13,23,29,12,3,14,21,25,18,30,8,38,34,16,6,22,44,26,15,43,41,36,31,11,24,45,7,19,35,48,40,20,33,46,49,2,32,39,28,42,47,37,17,27,"
in06_099.dat,5531,5531.15,"0,3,1,14,17,28,18,32,34,12,25,24,22,41,2,45,19,11,38,36,48,43,27,26,5,15,20,47,21,10,49,42,37,46,7,44,40,30,8,33,4,9,31,6,29,16,35,39,23,13,"
in06_100.dat,5955,5966.85,"2,1,10,16,9,5,15,12,38,29,37,22,44,19,46,14,21,27,32,35,39,11,45,6,36,4,17,48,28,24,7,47,26,8,42,18,33,25,34,31,43,3,13,40,30,49,0,23,20,41,"
in06_101.dat,5679,5679,"2,5,18,31,4,22,36,28,24,43,34,37,11,20,1,42,7,35,19,23,25,12,13,39,33,16,41,40,32,21,47,10,48,29,27,45,49,9,46,15,3,14,17,30,26,6,0,44,8,38,"
in06_102.dat,6108,6108,"3,8,0,11,2,28,33,42,25,49,10,1,39,31,9,27,41,34,48,45,32,43,19,23,29,13,38,44,30,46,5,26,12,18,15,47,21,35,37,16,4,40,20,24,14,7,17,22,6,36,"
in06_103.dat,5270,5273,"1,5,9,19,15,7,22,32,18,28,16,4,26,39,48,42,30,0,27,17,24,43,33,21,41,47,8,20,14,45,6,10,49,37,12,31,2,46,36,3,38,34,40,44,29,11,23,25,13,35,"
in06_104.dat,5530,5530,"0,3,5,13,11,24,33,23,30,38,21,4,37,43,47,49,28,19,46,20,39,9,48,15,14,31,36,17,1,18,42,45,25,41,12,32,40,8,26,35,10,22,6,7,34,44,27,16,2,29,"
in06_105.dat,5658,5659.25,"2,5,4,1,11,17,34,14,27,10,8,45,30,40,44,22,13,0,39,41,33,16,38,43,48,15,46,47,18,3,20,32,42,29,23,12,6,7,21,31,36,28,26,19,9,37,24,35,25,49,"
in06_106.dat,4453,4454.7,"3,1,12,15,28,14,18,33,45,48,43,49,8,29,39,36,10,7,42,6,35,13,41,9,25,2,31,38,4,23,11,22,24,37,16,46,34,17,26,5,20,47,30,21,27,32,19,0,40,44,"
in06_107.dat,4693,4693.7,"0,8,11,4,26,5,19,33,44,10,46,15,36,14,13,22,39,40,41,37,9,2,35,48,47,42,20,28,7,31,16,27,29,24,49,45,32,21,34,1,38,23,12,6,43,3,17,25,18,30,"
in06_108.dat,6195,6195.9,"2,5,17,7,36,21,47,4,10,43,24,28,48,44,46,26,49,39,38,22,45,11,23,15,9,6,16,3,35,18,25,14,13,0,40,33,41,20,8,19,1,12,30,34,27,31,29,42,37,32,"
in06_109.dat,5286,5287.25,"1,5,23,11,29,20,36,44,21,39,33,41,42,17,49,45,19,38,31,10,22,16,30,48,15,13,34,40,43,6,9,46,2,37,32,35,3,47,18,0,14,28,12,4,8,7,27,24,25,26,"
in06_110.dat,5334,5334.1,"0,10,3,14,12,13,24,30,4,18,28,45,41,39,35,48,22,29,27,37,42,17,47,1,44,20,40,5,2,23,46,31,38,11,34,15,36,7,32,19,49,43,16,25,33,26,6,9,8,21,"
in06_111.dat,6063,6063.4,"1,3,2,20,8,0,43,34,12,26,5,28,29,7,40,42,22,37,45,13,17,18,46,21,19,30,41,15,6,9,31,47,38,33,27,48,4,32,36,39,11,16,25,44,14,23,49,24,10,35,"
in06_112.dat,5349,5350.4,"0,5,13,23,31,28,30,37,29,35,26,41,22,15,49,8,48,12,20,27,32,3,47,10,11,46,34,2,19,33,43,42,16,14,39,7,9,6,17,44,4,36,25,40,45,38,1,24,18,21,"
in06_113.dat,5660,5660.8,"1,4,11,9,5,10,18,19,22,13,49,31,14,7,23,24,8,43,29,37,33,42,39,32,17,16,2,46,0,47,35,41,40,38,15,48,28,27,3,34,21,20,44,36,26,45,25,30,6,12,"
in06_114.dat,6726,6727.2,"5,8,18,15,26,31,44,21,7,35,12,4,23,34,9,11,36,25,48,20,2,46,13,0,16,37,6,38,14,24,27,30,41,32,47,29,10,17,45,22,40,3,42,43,19,28,39,1,33,49,"
in06_115.dat,5534,5534,"3,21,25,4,30,7,8,19,40,39,26,15,28,5,9,47,49,16,23,33,46,6,43,12,34,18,35,17,44,14,27,41,29,37,48,13,45,1,32,22,10,11,2,24,36,42,0,20,38,31,"
in06_116.dat,5301,5309.5,"3,6,4,1,19,11,22,48,16,28,27,36,26,49,13,42,20,45,43,39,10,29,7,17,21,9,15,38,24,23,14,5,8,37,40,30,34,44,12,25,47,31,18,46,32,0,2,33,41,35,"
in06_117.dat,5067,5067.7,"3,2,21,22,0,9,41,6,33,10,1,44,43,27,4,25,16,35,45,38,47,48,24,19,7,15,36,8,39,23,28,46,29,11,5,32,49,31,34,42,12,37,30,18,40,20,14,13,26,17,"
